rank,vectorizer_id,vectorizer_name,vectorizer_family,vectorizer_complexity,classifier_id,classifier_name,classifier_family,classifier_complexity,pipeline_id,status,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,train_time_sec,prediction_time_sec,model_size_kb,performance_score,efficiency_score,suitability_score,final_score,error
54,sentence_minilm,Sentence Transformer MiniLM,embedding_contextual,high,extra_trees,Extra Trees Classifier,tree_based,medium,sentence_minilm__extra_trees,completed,0.5,0.4862914862914862,0.4891774891774891,0.5,0.5,6.619674205780029,0.24546146392822266,90575.9677734375,49.01515151515151,5.554266929626465,55,46.319186719258624,
55,sentence_minilm,Sentence Transformer MiniLM,embedding_contextual,high,random_forest_small,Small Random Forest,tree_based,high,sentence_minilm__random_forest_small,completed,0.55,0.5222222222222223,0.5283333333333333,0.5484848484848485,0.5396825396825397,6.407012939453125,0.3153843879699707,89753.0302734375,53.00833333333333,2.634859085083008,40,45.681555150349936,
56,fasttext_avg,FastText Average,embedding_static,medium,linear_svc,LinearSVC,margin_based,medium,fasttext_avg__linear_svc,completed,0.35,0.1728395061728395,0.18148148148148147,0.11666666666666665,0.3333333333333333,4.488116025924683,0.010724782943725586,2343860.4501953125,21.84259259259259,32.42781686782837,70,38.9989892994916,
57,fasttext_avg,FastText Average,embedding_static,medium,sgd_log,SGDClassifier Logistic Loss,linear,medium,fasttext_avg__sgd_log,completed,0.3,0.15384615384615385,0.13846153846153847,0.09999999999999999,0.3333333333333333,3.3020362854003906,0.006105184555053711,2343857.2822265625,18.80769230769231,39.821471214294434,70,38.80852501208966,
58,sentence_minilm,Sentence Transformer MiniLM,embedding_contextual,high,xgboost,XGBoost Classifier,boosting,high,sentence_minilm__xgboost,completed,0.4,0.3653092006033183,0.3735746606334842,0.3611111111111111,0.38888888888888884,6.920441150665283,0.32131433486938477,90094.119140625,37.52217194570136,0.0,40,36.63719457013575,
59,fasttext_avg,FastText Average,embedding_static,medium,logreg_balanced,Logistic Regression Balanced,linear,low,fasttext_avg__logreg_balanced,completed,0.35,0.1728395061728395,0.18148148148148147,0.11666666666666665,0.3333333333333333,8.532731294631958,0.010447502136230469,2343860.5947265625,21.84259259259259,8.176762104034424,85,36.39877834673281,
60,sentence_minilm,Sentence Transformer MiniLM,embedding_contextual,high,gradient_boosting,Gradient Boosting Trees,boosting,high,sentence_minilm__gradient_boosting,completed,0.3,0.27855477855477856,0.28339160839160843,0.27037037037037037,0.29365079365079366,9.591094493865967,0.1988210678100586,90001.23828125,28.46416083916084,0.0,40,31.65528846153846,
61,fasttext_avg,FastText Average,embedding_static,medium,multinomial_nb,Multinomial Naive Bayes,probabilistic,low,fasttext_avg__multinomial_nb,failed,,,,,,,,,0.0,0.0,0,0.0,Negative values in data passed to MultinomialNB (input X).
62,word2vec_avg,Word2Vec Average,embedding_static,medium,multinomial_nb,Multinomial Naive Bayes,probabilistic,low,word2vec_avg__multinomial_nb,failed,,,,,,,,,0.0,0.0,0,0.0,Negative values in data passed to MultinomialNB (input X).
63,sentence_minilm,Sentence Transformer MiniLM,embedding_contextual,high,multinomial_nb,Multinomial Naive Bayes,probabilistic,low,sentence_minilm__multinomial_nb,failed,,,,,,,,,0.0,0.0,0,0.0,Negative values in data passed to MultinomialNB (input X).
64,bert_base,BERT Base Embeddings,embedding,high,multinomial_nb,Multinomial Naive Bayes,probabilistic,low,bert_base__multinomial_nb,failed,,,,,,,,,0.0,0.0,0,0.0,Negative values in data passed to MultinomialNB (input X).
